id;type;question;image_url;option_image_urls;correct_answer
1000000010;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000010/option-5.jpg;1
1000000011;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000011/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000011/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000011/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000011/option-4.jpg;2
1000000012;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000012/option-5.jpg;1
1000000013;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000013/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000013/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000013/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000013/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000013/option-5.jpg;4
1000000014;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000014/option-5.jpg;4
1000000015;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000015/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000015/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000015/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000015/option-4.jpg;3
1000000016;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000016/option-5.jpg;1
1000000017;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000017/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000017/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000017/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000017/option-4.jpg;4
1000000018;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000018/option-5.jpg;4
1000000019;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000019/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000019/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000019/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000019/option-4.jpg;1
1000000020;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000020/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000020/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000020/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000020/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000020/option-4.jpg;2
1000000021;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000021/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000021/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000021/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000021/option-4.jpg;4
1000000022;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000022/option-5.jpg;1
1000000023;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000023/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000023/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000023/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000023/option-4.jpg;1
1000000024;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000024/option-5.jpg;3
1000000025;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000025/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000025/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000025/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000025/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000025/option-5.jpg;5
1000000026;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000026/option-5.jpg;2
1000000027;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000027/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000027/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000027/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000027/option-4.jpg;2
1000000028;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000028/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000028/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000028/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000028/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000028/option-4.jpg;2
1000000029;0;کدام شکل با سایر اشکال فرق دارد؟;null;https://static.psychology.ml/barrett-test/visual-reasoning/1000000029/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000029/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000029/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000029/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000029/option-5.jpg;3
1000000030;1;شکل بعدی کدام است؟;https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/question.jpg;https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/option-1.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/option-2.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/option-3.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/option-4.jpg,https://static.psychology.ml/barrett-test/visual-reasoning/1000000030/option-5.jpg;4
